"","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01"
"Michigan",9938823,9943365,9947908,9952450,9955672,9958895,9962118,9965340,9968562,9971785,9975008,9978230,9981452,9984675,9987898,9991120,9993169,9995218,9997268,9999317,10001366,10003415,10005464,10007513,10009562,10011612,10013661,10015710,10017830,10019950,10022070,10024191,10026311,10028431,10030551,10032671,10034792,10036912,10039032,10041152,10042332,10043512,10044693,10045873,10047053,10048234,10049414,10050594,10051774,10052954,10054135,10055315,10054967,10054619,10054270,10053922,10053574,10053226,10052878,10052530,10052182,10051833,10051485,10051137,10049882,10048628,10047373,10046118,10044864,10043609,10042354,10041100,10039845,10038590,10037336,10036081,10033181,10030282,10027382,10024482,10021582,10018682,10015783,10012883,10009983,10007084,10004184,10001284,9996751,9992218,9987685,9983152,9978619,9974086,9969554,9965021,9960488,9955955,9951422,9946889,9943114,9939339,9935564,9931790,9928015,9924240,9920465,9916690,9912916,9909141,9905366,9901591,9899596,9897602,9895607,9893613,9891618,9889624,9887629,9885635,9883640,9881597,9879553,9877510,9877918,9878327,9878736,9879144,9879552,9879961,9880370,9880778,9881186,9881595,9882004,9882412,9883640,9884868,9886095,9887323,9888551,9889778,9891006,9892234,9893462,9894690,9895917,9897145,9898472,9899798,9901125,9902452,9903778,9905105,9906432,9907758,9909085,9910412,9911738,9913065,9914464,9915862,9917261,9918659,9920058,9921456,9922855,9924254,9925652,9927051,9928449,9929848,9930004,9930159,9930315,9930470,9930626,9930782,9930937,9931093,9931248,9931404,9931559,9931715,9933286,9934858,9936429,9938000,9939572,9941143,9942714,9944286,9945857,9947428,9949000,9950571,9952450,9954328,9956207,9958085,9959964,9961842,9963721,9965600,9967478,9969357,9971235,9973114,9974027,9974940,9975854,9976767,9977680,9978593,9979506,9980419,9981332,9982246,9983159,9984072,9984304,9984536,9984768,9985000,9985232,9985464,9985697,9985929,9986161,9986393,9986625,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857,9986857
"Minnesota",4919631,4924318,4929005,4933692,4937784,4941876,4945968,4950060,4954152,4958244,4962336,4966428,4970520,4974612,4978704,4982796,4985808,4988819,4991831,4994842,4997854,5000866,5003877,5006889,5009900,5012912,5015923,5018935,5021821,5024708,5027594,5030481,5033367,5036254,5039140,5042026,5044913,5047799,5050686,5053572,5056417,5059262,5062107,5064952,5067797,5070642,5073488,5076333,5079178,5082023,5084868,5087713,5090370,5093027,5095684,5098341,5100998,5103656,5106313,5108970,5111627,5114284,5116941,5119598,5123261,5126924,5130587,5134250,5137913,5141576,5145240,5148903,5152566,5156229,5159892,5163555,5167192,5170830,5174467,5178104,5181742,5185379,5189016,5192654,5196291,5199928,5203566,5207203,5210521,5213839,5217157,5220475,5223793,5227110,5230428,5233746,5237064,5240382,5243700,5247018,5249867,5252716,5255564,5258413,5261262,5264110,5266959,5269808,5272657,5275506,5278354,5281203,5283728,5286252,5288777,5291302,5293826,5296351,5298876,5301400,5303925,5306226,5308527,5310828,5313771,5316714,5319657,5322600,5325543,5328486,5331428,5334371,5337314,5340257,5343200,5346143,5348685,5351226,5353768,5356310,5358851,5361393,5363935,5366476,5369018,5371560,5374101,5376643,5379713,5382782,5385852,5388922,5391991,5395061,5398131,5401200,5404270,5407340,5410409,5413479,5416612,5419746,5422879,5426012,5429146,5432279,5435412,5438546,5441679,5444812,5447946,5451079,5453658,5456238,5458817,5461397,5463976,5466556,5469135,5471714,5474294,5476873,5479453,5482032,5485425,5488817,5492210,5495603,5498995,5502388,5505781,5509173,5512566,5515959,5519351,5522744,5526368,5529992,5533616,5537239,5540863,5544487,5548111,5551735,5555358,5558982,5562606,5566230,5569565,5572900,5576235,5579570,5582905,5586240,5589574,5592909,5596244,5599579,5602914,5606249,5609031,5611813,5614595,5617377,5620159,5622940,5625722,5628504,5631286,5634068,5636850,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632,5639632
"Mississippi",2844754,2845954,2847153,2848353,2848740,2849126,2849513,2849900,2850287,2850674,2851060,2851447,2851834,2852220,2852607,2852994,2853468,2853942,2854416,2854890,2855364,2855838,2856311,2856785,2857259,2857733,2858207,2858681,2859484,2860286,2861089,2861891,2862694,2863496,2864299,2865102,2865904,2866707,2867509,2868312,2870037,2871762,2873486,2875211,2876936,2878661,2880386,2882111,2883836,2885560,2887285,2889010,2890421,2891832,2893243,2894654,2896065,2897476,2898888,2900299,2901710,2903121,2904532,2905943,2905863,2905782,2905702,2905621,2905541,2905460,2905380,2905300,2905219,2905139,2905058,2904978,2906926,2908873,2910821,2912769,2914716,2916664,2918612,2920559,2922507,2924455,2926402,2928350,2929971,2931593,2933214,2934835,2936457,2938078,2939699,2941321,2942942,2944563,2946185,2947806,2948720,2949634,2950548,2951462,2952376,2953290,2954204,2955118,2956032,2956946,2957860,2958774,2959721,2960668,2961615,2962562,2963509,2964456,2965403,2966350,2967297,2968381,2969464,2970548,2971230,2971912,2972594,2973276,2973958,2974640,2975321,2976003,2976685,2977367,2978049,2978731,2979155,2979578,2980002,2980426,2980850,2981274,2981697,2982121,2982545,2982968,2983392,2983816,2984224,2984632,2985040,2985448,2985856,2986264,2986671,2987079,2987487,2987895,2988303,2988711,2988857,2989004,2989150,2989297,2989443,2989590,2989736,2989882,2990029,2990175,2990322,2990468,2990302,2990135,2989969,2989802,2989636,2989470,2989303,2989137,2988970,2988804,2988637,2988471,2988427,2988382,2988338,2988293,2988249,2988204,2988160,2988116,2988071,2988027,2987982,2987938,2987986,2988033,2988081,2988129,2988176,2988224,2988272,2988319,2988367,2988415,2988462,2988510,2987886,2987262,2986638,2986013,2985389,2984765,2984141,2983517,2982892,2982268,2981644,2981020,2980614,2980208,2979802,2979396,2978990,2978584,2978179,2977773,2977367,2976961,2976555,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149,2976149
"Missouri",5596564,5600138,5603711,5607285,5610106,5612928,5615749,5618571,5621392,5624214,5627035,5629856,5632678,5635499,5638321,5641142,5643949,5646756,5649563,5652370,5655177,5657984,5660790,5663597,5666404,5669211,5672018,5674825,5677706,5680588,5683470,5686351,5689232,5692114,5694996,5697877,5700758,5703640,5706522,5709403,5712598,5715793,5718988,5722182,5725377,5728572,5731767,5734962,5738156,5741351,5744546,5747741,5751288,5754834,5758381,5761927,5765474,5769020,5772567,5776114,5779660,5783207,5786753,5790300,5794667,5799034,5803401,5807768,5812135,5816502,5820869,5825236,5829603,5833970,5838337,5842704,5846446,5850189,5853931,5857673,5861416,5865158,5868900,5872643,5876385,5880127,5883870,5887612,5890637,5893663,5896688,5899713,5902739,5905764,5908789,5911815,5914840,5917865,5920891,5923916,5927014,5930111,5933209,5936307,5939404,5942502,5945600,5948697,5951795,5954893,5957990,5961088,5964181,5967274,5970368,5973461,5976554,5979647,5982741,5985834,5988927,5991276,5993625,5995974,5997166,5998358,5999549,6000741,6001933,6003124,6004316,6005508,6006700,6007892,6009083,6010275,6011449,6012624,6013798,6014972,6016147,6017321,6018495,6019670,6020844,6022018,6023193,6024367,6025729,6027092,6028454,6029816,6031179,6032541,6033903,6035266,6036628,6037990,6039353,6040715,6042006,6043296,6044587,6045877,6047168,6048458,6049749,6051040,6052330,6053621,6054911,6056202,6057496,6058790,6060084,6061379,6062673,6063967,6065261,6066555,6067850,6069144,6070438,6071732,6073016,6074299,6075583,6076866,6078150,6079434,6080717,6082001,6083284,6084568,6085851,6087135,6088763,6090391,6092019,6093647,6095275,6096902,6098530,6100158,6101786,6103414,6105042,6106670,6107916,6109162,6110408,6111654,6112900,6114146,6115393,6116639,6117885,6119131,6120377,6121623,6122940,6124257,6125574,6126891,6128208,6129526,6130843,6132160,6133477,6134794,6136111,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428,6137428
"Montana",902200,902724,903249,903773,904039,904304,904570,904836,905101,905367,905633,905898,906164,906430,906695,906961,907353,907745,908138,908530,908922,909314,909706,910098,910490,910883,911275,911667,912331,912994,913658,914321,914985,915648,916312,916976,917639,918303,918966,919630,920495,921360,922225,923090,923955,924820,925684,926549,927414,928279,929144,930009,930850,931691,932532,933373,934214,935056,935897,936738,937579,938420,939261,940102,941151,942200,943250,944299,945348,946397,947446,948495,949544,950594,951643,952692,953693,954694,955696,956697,957698,958699,959700,960701,961702,962704,963705,964706,965682,966658,967633,968609,969585,970560,971536,972512,973488,974464,975439,976415,977046,977676,978307,978937,979568,980198,980829,981460,982090,982721,983351,983982,984586,985189,985793,986397,987000,987604,988208,988811,989415,989842,990270,990697,991249,991800,992352,992903,993455,994006,994558,995110,995661,996213,996764,997316,997855,998394,998933,999472,1000011,1000550,1001088,1001627,1002166,1002705,1003244,1003783,1004598,1005414,1006230,1007045,1007860,1008676,1009492,1010307,1011122,1011938,1012754,1013569,1014261,1014952,1015644,1016336,1017027,1017719,1018411,1019102,1019794,1020486,1021177,1021869,1022586,1023303,1024020,1024738,1025455,1026172,1026889,1027606,1028324,1029041,1029758,1030475,1031340,1032206,1033071,1033936,1034802,1035667,1036532,1037398,1038263,1039128,1039994,1040859,1041828,1042796,1043765,1044733,1045702,1046670,1047639,1048608,1049576,1050545,1051513,1052482,1053164,1053846,1054528,1055210,1055892,1056574,1057255,1057937,1058619,1059301,1059983,1060665,1061341,1062017,1062693,1063369,1064045,1064722,1065398,1066074,1066750,1067426,1068102,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778,1068778
"Nebraska",1711230,1712093,1712957,1713820,1714321,1714823,1715324,1715825,1716327,1716828,1717329,1717831,1718332,1718833,1719335,1719836,1720541,1721245,1721950,1722655,1723359,1724064,1724769,1725473,1726178,1726883,1727587,1728292,1729155,1730017,1730880,1731742,1732605,1733468,1734330,1735193,1736055,1736918,1737780,1738643,1739537,1740431,1741325,1742219,1743113,1744006,1744900,1745794,1746688,1747582,1748476,1749370,1750381,1751391,1752402,1753412,1754423,1755434,1756444,1757455,1758465,1759476,1760486,1761497,1762430,1763363,1764296,1765229,1766162,1767095,1768028,1768961,1769894,1770827,1771760,1772693,1773589,1774484,1775380,1776275,1777171,1778066,1778962,1779858,1780753,1781649,1782544,1783440,1784518,1785596,1786674,1787753,1788831,1789909,1790987,1792065,1793144,1794222,1795300,1796378,1797737,1799096,1800454,1801813,1803172,1804530,1805889,1807248,1808607,1809966,1811324,1812683,1814201,1815718,1817236,1818753,1820271,1821788,1823306,1824823,1826341,1827408,1828475,1829542,1830470,1831397,1832324,1833252,1834180,1835107,1836034,1836962,1837890,1838817,1839744,1840672,1841725,1842777,1843830,1844882,1845935,1846988,1848040,1849093,1850145,1851198,1852250,1853303,1854301,1855299,1856297,1857295,1858293,1859291,1860289,1861287,1862285,1863283,1864281,1865279,1866449,1867619,1868790,1869960,1871130,1872300,1873470,1874640,1875810,1876981,1878151,1879321,1880317,1881314,1882310,1883306,1884303,1885299,1886295,1887292,1888288,1889284,1890281,1891277,1892472,1893667,1894862,1896057,1897252,1898446,1899641,1900836,1902031,1903226,1904421,1905616,1906477,1907338,1908199,1909060,1909921,1910782,1911642,1912503,1913364,1914225,1915086,1915947,1916753,1917558,1918364,1919169,1919975,1920780,1921586,1922392,1923197,1924003,1924808,1925614,1926347,1927080,1927812,1928545,1929278,1930011,1930744,1931477,1932210,1932942,1933675,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408,1934408
"Nevada",1998250,2005080,2011911,2018741,2025379,2032017,2038656,2045294,2051932,2058570,2065208,2071846,2078484,2085123,2091761,2098399,2104682,2110964,2117247,2123530,2129812,2136095,2142378,2148660,2154943,2161226,2167508,2173791,2180046,2186301,2192556,2198811,2205066,2211320,2217575,2223830,2230085,2236340,2242595,2248850,2256964,2265079,2273193,2281307,2289422,2297536,2305650,2313765,2321879,2329993,2338108,2346222,2353382,2360542,2367702,2374862,2382022,2389182,2396343,2403503,2410663,2417823,2424983,2432143,2439686,2447229,2454772,2462315,2469858,2477400,2484943,2492486,2500029,2507572,2515115,2522658,2529192,2535727,2542262,2548796,2555330,2561865,2568400,2574934,2581468,2588003,2594538,2601072,2605452,2609832,2614212,2618591,2622971,2627351,2631731,2636111,2640490,2644870,2649250,2653630,2656216,2658802,2661389,2663975,2666561,2669148,2671734,2674320,2676906,2679492,2682079,2684665,2686430,2688195,2689960,2691725,2693491,2695256,2697021,2698786,2700551,2701169,2701787,2702405,2703265,2704126,2704986,2705847,2706707,2707568,2708428,2709288,2710149,2711009,2711870,2712730,2715336,2717941,2720546,2723152,2725758,2728363,2730968,2733574,2736180,2738785,2741390,2743996,2746660,2749325,2751990,2754654,2757318,2759983,2762648,2765312,2767976,2770641,2773306,2775970,2779442,2782913,2786384,2789856,2793328,2796799,2800270,2803742,2807214,2810685,2814156,2817628,2821737,2825846,2829956,2834065,2838174,2842284,2846393,2850502,2854611,2858720,2862830,2866939,2871158,2875376,2879595,2883814,2888032,2892251,2896470,2900688,2904907,2909126,2913344,2917563,2921925,2926287,2930648,2935010,2939372,2943734,2948096,2952458,2956820,2961181,2965543,2969905,2974691,2979478,2984264,2989050,2993837,2998623,3003409,3008196,3012982,3017768,3022555,3027341,3031742,3036144,3040545,3044946,3049347,3053748,3058150,3062551,3066952,3071354,3075755,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156,3080156
"New Hampshire",1235807,1237165,1238524,1239882,1241185,1242488,1243791,1245094,1246397,1247700,1249002,1250305,1251608,1252911,1254214,1255517,1256648,1257779,1258910,1260041,1261172,1262303,1263434,1264565,1265696,1266827,1267958,1269089,1269985,1270881,1271777,1272673,1273569,1274464,1275360,1276256,1277152,1278048,1278944,1279840,1280697,1281554,1282410,1283267,1284124,1284980,1285837,1286694,1287551,1288408,1289264,1290121,1290819,1291516,1292214,1292911,1293609,1294306,1295004,1295702,1296399,1297097,1297794,1298492,1299317,1300142,1300966,1301791,1302616,1303440,1304265,1305090,1305915,1306740,1307564,1308389,1308735,1309081,1309427,1309773,1310119,1310464,1310810,1311156,1311502,1311848,1312194,1312540,1312820,1313101,1313382,1313662,1313942,1314223,1314504,1314784,1315064,1315345,1315626,1315906,1315922,1315939,1315955,1315971,1315988,1316004,1316020,1316037,1316053,1316069,1316086,1316102,1316143,1316184,1316225,1316266,1316306,1316347,1316388,1316429,1316470,1316567,1316665,1316762,1317049,1317335,1317622,1317909,1318195,1318482,1318769,1319055,1319342,1319629,1319915,1320202,1320538,1320874,1321210,1321545,1321881,1322217,1322553,1322889,1323224,1323560,1323896,1324232,1324431,1324630,1324830,1325029,1325228,1325427,1325626,1325825,1326024,1326224,1326423,1326622,1327182,1327742,1328302,1328862,1329422,1329982,1330541,1331101,1331661,1332221,1332781,1333341,1333592,1333842,1334093,1334344,1334595,1334846,1335096,1335347,1335598,1335848,1336099,1336350,1336846,1337343,1337839,1338336,1338832,1339328,1339825,1340321,1340818,1341314,1341811,1342307,1342847,1343387,1343927,1344467,1345007,1345547,1346087,1346627,1347167,1347707,1348247,1348787,1349177,1349567,1349956,1350346,1350736,1351126,1351516,1351906,1352296,1352685,1353075,1353465,1353986,1354506,1355026,1355547,1356068,1356588,1357108,1357629,1358150,1358670,1359190,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711,1359711
"New Jersey",8414764,8420050,8425335,8430621,8435792,8440963,8446134,8451304,8456475,8461646,8466817,8471988,8477158,8482329,8487500,8492671,8497669,8502666,8507664,8512662,8517659,8522657,8527655,8532652,8537650,8542648,8547645,8552643,8556706,8560770,8564833,8568896,8572959,8577022,8581086,8585149,8589212,8593276,8597339,8601402,8604165,8606928,8609692,8612455,8615218,8617982,8620745,8623508,8626271,8629034,8631798,8634561,8636012,8637463,8638914,8640365,8641816,8643268,8644719,8646170,8647621,8649072,8650523,8651974,8652783,8653592,8654400,8655209,8656018,8656826,8657635,8658444,8659253,8660062,8660870,8661679,8663030,8664380,8665730,8667081,8668432,8669782,8671132,8672483,8673834,8675184,8676534,8677885,8680652,8683419,8686186,8688953,8691720,8694488,8697255,8700022,8702789,8705556,8708323,8711090,8714799,8718509,8722218,8725927,8729637,8733346,8737055,8740765,8744474,8748183,8751893,8755602,8759634,8763667,8767699,8771732,8775764,8779797,8783829,8787862,8791894,8794411,8796929,8799446,8801835,8804224,8806614,8809003,8811392,8813782,8816171,8818560,8820949,8823338,8825728,8828117,8829519,8830921,8832323,8833725,8835127,8836530,8837932,8839334,8840736,8842138,8843540,8844942,8845944,8846947,8847950,8848952,8849954,8850957,8851960,8852962,8853964,8854967,8855970,8856972,8857601,8858231,8858860,8859490,8860119,8860748,8861378,8862007,8862637,8863266,8863896,8864525,8864810,8865096,8865381,8865666,8865952,8866237,8866522,8866808,8867093,8867378,8867664,8867949,8868189,8868429,8868668,8868908,8869148,8869388,8869628,8869868,8870108,8870347,8870587,8870827,8872052,8873277,8874502,8875726,8876951,8878176,8879401,8880626,8881850,8883075,8884300,8885525,8885567,8885608,8885650,8885692,8885733,8885775,8885817,8885858,8885900,8885942,8885983,8886025,8885705,8885386,8885066,8884747,8884427,8884108,8883788,8883468,8883149,8882829,8882510,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190,8882190
"New Mexico",1819017,1819746,1820475,1821204,1822078,1822952,1823826,1824699,1825573,1826447,1827321,1828195,1829068,1829942,1830816,1831690,1833658,1835626,1837595,1839563,1841531,1843500,1845468,1847436,1849404,1851372,1853341,1855309,1857164,1859020,1860875,1862731,1864586,1866442,1868297,1870152,1872008,1873863,1875719,1877574,1879760,1881946,1884132,1886319,1888505,1890691,1892877,1895063,1897250,1899436,1901622,1903808,1906180,1908552,1910924,1913297,1915669,1918041,1920413,1922785,1925158,1927530,1929902,1932274,1934763,1937251,1939740,1942228,1944717,1947206,1949694,1952183,1954671,1957160,1959648,1962137,1964465,1966792,1969120,1971448,1973776,1976104,1978431,1980759,1983087,1985414,1987742,1990070,1991786,1993502,1995218,1996934,1998650,2000366,2002082,2003798,2005514,2007230,2008946,2010662,2012840,2015019,2017197,2019375,2021554,2023732,2025910,2028089,2030267,2032445,2034624,2036802,2039288,2041775,2044261,2046747,2049234,2051720,2054206,2056693,2059179,2060970,2062761,2064552,2065877,2067202,2068526,2069851,2071176,2072501,2073826,2075151,2076476,2077800,2079125,2080450,2081022,2081593,2082165,2082736,2083308,2083880,2084451,2085023,2085594,2086166,2086737,2087309,2087723,2088136,2088550,2088964,2089377,2089791,2090205,2090618,2091032,2091446,2091859,2092273,2092048,2091822,2091597,2091371,2091146,2090920,2090695,2090470,2090244,2090019,2089793,2089568,2089545,2089522,2089499,2089476,2089453,2089430,2089406,2089383,2089360,2089337,2089314,2089291,2089486,2089681,2089876,2090071,2090266,2090460,2090655,2090850,2091045,2091240,2091435,2091630,2091643,2091656,2091668,2091681,2091694,2091707,2091720,2091733,2091746,2091758,2091771,2091784,2091864,2091944,2092023,2092103,2092183,2092262,2092342,2092422,2092502,2092582,2092661,2092741,2093082,2093422,2093763,2094104,2094444,2094785,2095126,2095466,2095807,2096148,2096488,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829,2096829
"New York",18977026,18985277,18993529,19001780,19008535,19015290,19022044,19028799,19035554,19042309,19049064,19055819,19062574,19069328,19076083,19082838,19087418,19091998,19096578,19101159,19105739,19110319,19114899,19119479,19124060,19128640,19133220,19137800,19140978,19144156,19147335,19150513,19153691,19156870,19160048,19163226,19166404,19169582,19172761,19175939,19175575,19175210,19174846,19174482,19174117,19173753,19173389,19173024,19172660,19172296,19171931,19171567,19168321,19165074,19161828,19158581,19155335,19152088,19148842,19145596,19142349,19139103,19135856,19132610,19130278,19127947,19125615,19123284,19120952,19118620,19116289,19113957,19111626,19109294,19106963,19104631,19106940,19109248,19111557,19113866,19116174,19118483,19120792,19123100,19125409,19127718,19130026,19132335,19139010,19145685,19152360,19159035,19165710,19172386,19179061,19185736,19192411,19199086,19205761,19212436,19220322,19228208,19236094,19243979,19251865,19259751,19267637,19275523,19283408,19291294,19299180,19307066,19314959,19322852,19330745,19338638,19346530,19354423,19362316,19370209,19378102,19385361,19392619,19399878,19408158,19416438,19424719,19432999,19441279,19449560,19457840,19466120,19474400,19482680,19490961,19499241,19505382,19511523,19517664,19523805,19529946,19536086,19542227,19548368,19554509,19560650,19566791,19572932,19577225,19581518,19585811,19590104,19594397,19598690,19602982,19607275,19611568,19615861,19620154,19624447,19626664,19628881,19631098,19633314,19635531,19637748,19639965,19642182,19644398,19646615,19648832,19651049,19651350,19651652,19651953,19652255,19652556,19652858,19653159,19653460,19653762,19654063,19654365,19654666,19652896,19651126,19649356,19647587,19645817,19644047,19642277,19640507,19638738,19636968,19635198,19633428,19629773,19626119,19622464,19618809,19615155,19611500,19607845,19604191,19600536,19596881,19593227,19589572,19584637,19579702,19574767,19569832,19564897,19559962,19555026,19550091,19545156,19540221,19535286,19530351,19523952,19517553,19511154,19504754,19498355,19491956,19485557,19479158,19472758,19466359,19459960,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561,19453561
"North Carolina",8046346,8058102,8069858,8081614,8092323,8103032,8113741,8124450,8135159,8145868,8156577,8167286,8177995,8188704,8199413,8210122,8219795,8229468,8239142,8248815,8258488,8268162,8277835,8287508,8297181,8306854,8316528,8326201,8334226,8342251,8350276,8358301,8366326,8374351,8382376,8390401,8398426,8406451,8414476,8422501,8433389,8444276,8455164,8466051,8476939,8487826,8498714,8509602,8520489,8531377,8542264,8553152,8565840,8578528,8591216,8603904,8616592,8629280,8641967,8654655,8667343,8680031,8692719,8705407,8723062,8740718,8758373,8776028,8793683,8811338,8828994,8846649,8864304,8881960,8899615,8917270,8934001,8950731,8967462,8984192,9000923,9017654,9034384,9051115,9067845,9084576,9101306,9118037,9133988,9149939,9165890,9181841,9197792,9213743,9229694,9245645,9261596,9277547,9293498,9309449,9321125,9332802,9344478,9356155,9367831,9379508,9391184,9402860,9414537,9426213,9437890,9449566,9459112,9468659,9478205,9487751,9497298,9506844,9516390,9525937,9535483,9548430,9561376,9574323,9581262,9588201,9595140,9602079,9609018,9615958,9622897,9629836,9636775,9643714,9650653,9657592,9665249,9672906,9680563,9688220,9695877,9703534,9711191,9718848,9726505,9734162,9741819,9749476,9757298,9765119,9772941,9780763,9788584,9796406,9804228,9812049,9819871,9827693,9835514,9843336,9850799,9858261,9865724,9873186,9880649,9888112,9895574,9903037,9910499,9917962,9925424,9932887,9941117,9949347,9957577,9965807,9974037,9982266,9990496,9998726,10006956,10015186,10023416,10031646,10041908,10052170,10062432,10072693,10082955,10093217,10103479,10113741,10124002,10134264,10144526,10154788,10164242,10173696,10183149,10192603,10202057,10211510,10220964,10230418,10239872,10249326,10258779,10268233,10277682,10287130,10296578,10306027,10315476,10324924,10334372,10343821,10353270,10362718,10372166,10381615,10390487,10399360,10408232,10417105,10425977,10434850,10443722,10452594,10461467,10470339,10479212,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084,10488084
