Organization Name,Letter URL,Reported Date,Date of Breach,End Date
Stanwich Morgage Loan Trust (update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/StanwichMortgageLoanTrustUpdated.2019-07-10.pdf,7/10/2019,2/18/2019,1/19/2019
Sprint Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SprintCorporation.2019-07-09.pdf,7/9/2019,Unspecified ,Unspecified 
Riggs Wealth Management,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RiggsWealthManagement.2019-07-03.pdf,7/3/2019,6/14/2019,6/17/2019
"Dominion Dental Services, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/DominionNational.2019-06-21.pdf,6/21/2019,As early as 08/25/2010,
Darwin's Natural Pet Products,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Darwin%E2%80%99sNaturalPetProducts.2019-06-07.pdf,6/7/2019,9/27/2016,3/16/2019
Princess Polly Group Pty Ltd,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PrincessPollyGroupPtyLtd.2019-06-07.pdf,6/7/2019,11/1/2018,4/29/2019
"Acrisure, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AcrisureLLCdbaFiliceInsuranceAgency.2019-06-06.pdf,6/6/2019,Unspecified ,Unspecified 
Washington Department of Health,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WashingtonStateDepartmentOfHealth.2019-06-03.pdf,6/3/2019,19-Feb,
Retrieval Masters Creditors Bureau Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RetrievalMastersCreditorsBureauInc.2019-06-03.pdf,6/3/2019,8/1/2019,3/30/2019
Mediant Communications Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MediantCommunicationsInc.pdf,5/28/2019,04/01/2019 ,
National Wildlife Federation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NationalWildlifeFederation.2019-05-25.pdf,5/24/2019,~04/25/2019,
"Dury Hotels Company, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/DruryHotelsCompanyLLC.2019-05-24.pdf,5/24/2019,12/29/2017,3/13/2019
Georgia Institute of Technology,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GeorgiaInstituteOfTechnology.2019-05-22.pdf,5/22/2019,12/14/2018,3/22/2019
Service Linen Supply,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ServiceLinenSupply.2019-05-22.pdf,5/21/2019,~5/14/2019,
Oklahoma Department of Securities,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/About_the_Office/AGO_Opinions/Pending_AGO_Opinions/OklahomaDepartmentOfSecurities.2019-05-10.pdf,5/10/2019,Unspecified,Unspecified 
"Sage Advisors, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SageAdvisorsLLC.2019-05-10.pdf,5/9/2019,2/12/2019,3/26/2019
"Lancaster Archery Supply, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/About_the_Office/AGO_Opinions/Pending_AGO_Opinions/LancasterArcherySupplyInc.2019-04-26.pdf,4/26/2019,7/4/2018,2/16/2019
Port of Seattle,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/PortOfSeattle.2019-04-26.pdf,4/26/2019,Unspecified,Unspecified 
North 40 Outfitters (update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/North40OutfittersUpdated.2019-04-25.pdf,4/25/2019,12/17/2018,1/22/2019
Seattle University,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SeattleUniversity.2019-04-23.pdf,4/23/2019,3/26/2019,
