URL,Org Name,Reported Date,Update Notice,,,,,,,
https://ago.vermont.gov/blog/2020/06/23/ketterer-company-notice-of-data-breach-to-consumers/,Ketterer Company,23-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/22/joseph-j-gormley-cpa-notice-of-data-breach-to-consumers/,Joseph J Gormley CPA,22-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/22/community-development-bank-notice-of-data-breach-to-consumers/,Community Development Bank,22-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/22/florida-orthopaedic-institute-notice-of-data-breach-to-consumers/,Florida Orthopaedic Institute,22-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/22/bbk-holdings-dba-bailard-inc-notice-of-data-breach-to-consumers/,BB&K Holdings dba Bailard Inc,22-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/22/gain-capital-group-notice-of-data-breach-to-consumers/,GAIN Capital Group,22-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/19/strata-trust-company-notice-of-data-breach-to-consumers/,STRATA Trust Company,19-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/19/codemetro-notice-of-data-breach-to-consumers/,CodeMetro,19-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/18/american-medical-technologies-notice-of-data-breach-to-consumers/,American Medical Technologies,18-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/18/southern-farm-bureau-life-insurance-company-notice-of-data-breach-to-consumers/,Southern Farm Bureau Life Insurance Company,18-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/18/north-shore-pain-management-notice-of-data-breach-to-consumers/,North Shore Pain Management,18-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/18/north-shore-pain-management-sbn-to-consumers/,North Shore Pain Management,18-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/18/le-duff-america-inc-sbn-to-consumers/,Le Duff America Inc,18-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/18/hr-block-sbn-to-consumers/,H&R Block,18-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/17/blum-shapiro-and-company-notice-of-data-breach-to-consumers/,Blum Shapiro and Company,17-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/16/american-statistical-association-sbn-to-consumers/,American Statistical Association,16-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/15/magellan-health-inc-updated-sbn-to-consumers/,Magellan Health Inc Updated,15-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/15/fedstar-credit-union-sbn-to-consumers/,FedStar Credit Union,15-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/15/mattress-insider-notice-of-data-breach-to-consumers/,Mattress Insider,15-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/11/tait-towers-manufacturing-llc-sbn-to-consumers/,Tait Towers Manufacturing LLC,11-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/11/digital-management-sbn-to-consumers/,Digital Management,11-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/09/ottawa-kent-insurance-agency-sbn-to-consumers/,Ottawa Kent Insurance Agency,9-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/05/pen-factory-myron-corp-sbn-to-consumers/,Pen Factory-Myron Corp,5-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/02/karr-barth-administrators-sbn-to-consumers/,Karr Barth Administrators,2-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/05/29/fabfitfun-inc-sbn-to-consumers/,FabFitFun Inc,29-May-20,,,,,,,,
https://ago.vermont.gov/blog/2020/05/29/amtrak-sbn-to-consumers/,Amtrak,29-May-20,,,,,,,,
https://ago.vermont.gov/blog/2020/05/29/super-stroke-sbn-to-consumers/,Super Stroke,29-May-20,,,,,,,,
https://ago.vermont.gov/blog/2020/05/29/peterson-smith-equine-hospital-llc-sbn-to-consumers/,Peterson & Smith Equine Hospital LLC,29-May-20,,,,,,,,
